기업명,상태,기업소개,증권구분,모집가액,청약금액,발행금액,발행일,업종,청약률,청약자수,중개업자,임직원수,자산총계,부채총계,자본총계,자본금,매출액,영업이익,당기순이익
빛과소리,성공,(주)빛과소리는 LED제조를 통해 지속적으로 사회취약계층의 일자리를 창출하는 인증사회적기업입니다.,채권,"50,000,000","50,600,000","50,000,000",2020-06-25,제조,101%,14,오마이컴퍼니,17,"3,568,197,774","2,209,611,234","1,358,586,540","500,000,000","3,158,755,109","5,087,459","513,459,427"
스킨드림,종료,"(주)스킨드림은 다양한 뷰티 디바이스 분야의 연구개발전담부서를 구축하여, 스마트하면서 쉽고 간편하게 사용할 수 있는 미용기구를 개발하고 있습니다.",주식,"50,160,000","6,600,000",0,2020-06-25,제조,13%,4,와디즈파이낸스,7,"2,298,710,597","1,093,342,191","1,205,368,406","103,430,000","3,634,641,992","441,053,435","379,117,090"
월드티엔에스,종료,"(주)월드티엔에스는 창의개발, 기술개발, 세계품질 이라는 모토를 가진 군용 통신장비 설계 개발 및 정비 전문 기업입니다. 2015년 법인설립되어 40억원 매출을 시작으로, 2019년 57억이상의 매출을 기록하며 꾸준히 성장하고 있습니다.",주식,"50,000,000","21,000,000",0,2020-06-25,제조,42%,10,와디즈파이낸스,20,"8,392,618,313","6,765,126,354","1,627,491,959","400,000,000","5,726,554,105","350,037,200","253,783,785"
메디팜소프트,종료,"메디팜소프트가 개발한 AI 인공지능 기반의 심장질환 분석 및 판독 플랫폼은 기존의 헬스케어 기기와 차별화 되고, 심장의료기기로서 전문성을 갖춘 18 종류의 부정맥 질환을 인공지능 딥러닝 기반으로 예측, 판단하는 서비스로 AI 인공지능 기반 의료융합기술 전문기업이다.",주식,"100,000,000","12,000,000",0,2020-06-25,제조,12%,4,오픈트레이드,10,"86,223,347","47,320,486","38,902,861","10,000,000","79,940,909","17,177,026","17,264,425"
꿈,종료,"꿈(주)는 스페인 현지 구단 ""꿈FC(QUM Football Club)""를 운영합니다.
꿈FC는 실력 있는 우리나라 선수들과 세계 최고의 축구무대 스페인에서 커다란 도약을 꿈꿉니다.",주식,"49,999,500","13,135,500",0,2020-06-25,예술·여가,26%,44,와디즈파이낸스,8,"301,117,370","13,659,864","287,457,506","500,000,000","223,550,636","-71,803,270","-71,768,270"
바르도아이스크림,성공,"당사는, 아이스크림의 초콜릿 커버춰 위에 식용색소를 도착화 시킬수 있는 스프레이방식의 특허기술을 보유, 이를 당사가 보유하고 있는 브랜드의 로고를 인그레이빙 하거나, 로고를 인그레이빙하여 디자인화 및 상품화 하여 아이스크림 및 수출사업을 하고 있습니다. ",주식,"120,000,000","106,950,000","106,950,000",2020-06-23,제조,89%,43,와디즈파이낸스,2,"371,227,413","330,232,520","40,994,893","40,000,000","703,412,308","25,673,106","795,389"
어픽스,성공,"땡큐마켓은 중고/리퍼브/이월재고 리세일 마켓플레이스입니다.
직접 만나거나 오프라인 매장을 방문해서 구매해야했던 상품을 온라인 쇼핑처럼 쉽고 안전하게 온라인에서 구매할 수 있습니다.",주식,"450,000,000","454,550,000","450,000,000",2020-06-20,IT·영상,101%,91,와디즈파이낸스,25,"906,094,100","691,108,651","214,985,449","158,700","846,910,552","-851,866,408","-819,064,601"
루트링크,성공,"루트링크는 스마트 IT기업 IoT솔루션과 무선 단말 장치를 개발하는 업체로, 최근 금호타이어와의 사업을 통해 국가인증 및 통신사 인증된 단말과 솔루션을 개발 완료하여, 범용제품을 가지고 다양한 분야에 적용하기 위한 영업 및 기획을 준비하고 있습니다. ",주식,"340,000,000","356,891,200","340,000,000",2020-06-20,제조,105%,152,와디즈파이낸스,12,"714,726,442","340,899,262","373,827,180","187,928,300","496,174,200","44,262,288","-68,196,988"
엑스텐게임즈,종료,엑스텐게임즈는 다수의 해외 제휴사를 바탕으로 우수한 IP를 획득하여 글로벌 시장을 목표로 하는 모바일 게임 개발사입니다.,주식,"49,920,000","2,880,000",0,2020-06-13,IT·영상,6%,4,와디즈파이낸스,9,"717,771,583","573,284,685","144,486,898","124,165,000","5,139,946","-271,240,262","-279,420,238"
농업회사법인(주)한솔양계,성공,농업회사법인 ㈜한솔양계는 44년간 우수한 품질의 계란을 생산하고 있고 최근 R&D사업인 폴리페놀나노코팅기술을 개발하여 농업의 혁신을 주도하고 있는 기업임.,주식,"200,004,000","200,998,000","200,004,000",2020-06-13,농수산,100%,120,와디즈파이낸스,6,"4,669,145,181","3,431,255,187","1,237,889,994","1,209,070,000","1,902,233,506","85,247,137","17,511,793"
